category,audience,resource_name,provider,url,cost_type,certificate_available,certificate_free,skill_level,format,topics,best_for,uk_relevance,affiliate_available,affiliate_platform,affiliate_terms,credibility_score,notes,source_refs
"AI for Beginners","All non-technical professionals, managers","AI for Everyone","DeepLearning.AI / Coursera","https://www.coursera.org/learn/ai-for-everyone","free_audit_paid_certificate",True,False,"beginner","course","AI fundamentals; business strategy; AI limitations; AI applications","Non-technical professionals wanting a strategic overview of AI","high",True,"Coursera","Up to 45% commission, 30-day cookie",10,"Andrew Ng landmark course; 1M+ learners; certificate ~$49; full content accessible on free audit","1; 4; 144; 149; 155"
"AI for Beginners","All industries, productivity and admin workers","Google AI Essentials","Google","https://grow.google/ai-essentials/","free",True,True,"beginner","course","AI fundamentals; productivity; responsible AI; practical AI tools","Anyone wanting practical AI skills for everyday work with a shareable Google certificate","high",False,"","",10,"Certificate is genuinely free; 86% of graduates report improved productivity; confirm on provider page as offer may evolve","22; 25"
"AI for Beginners","Non-technical learners, policy, public sector, educators","Elements of AI — Introduction to AI","University of Helsinki / MinnaLearn","https://www.elementsofai.com","freemium",True,False,"beginner","course","AI fundamentals; machine learning basics; AI society; AI ethics","Non-coders wanting accessible university-backed AI literacy with no maths or coding required","high",False,"","",9,"1M+ learners; 26 languages; EU government-adopted; participation badge is free; official certificate costs a small fee via University of Helsinki Open University","131; 138; 134"
"AI for Beginners","All professionals, business teams, non-developers","Generative AI for Everyone","DeepLearning.AI / Coursera","https://www.deeplearning.ai/courses/generative-ai-for-everyone/","free_audit_paid_certificate",True,False,"beginner","course","generative AI; LLMs; prompt engineering basics; business impact; AI strategy","Non-coders wanting to understand GenAI tools, limitations, and business strategy","high",True,"Coursera","Up to 45% commission, 30-day cookie",10,"Taught by Andrew Ng; ~3 hours; free to access on DeepLearning.AI directly or as Coursera audit; no coding required","104; 110; 107"
"AI for Beginners","All industries","Introduction to Artificial Intelligence (AI)","IBM / Coursera","https://www.coursera.org/learn/introduction-to-artificial-intelligence","free_audit_paid_certificate",True,False,"beginner","course","AI concepts; AI applications; AI ethics; machine learning basics","Beginners wanting an IBM-credentialed broad AI overview","high",True,"Coursera","Up to 45% commission, 30-day cookie",9,"IBM brand; ~8 hours; full content accessible on audit; certificate requires payment","18; 21; 24"
"AI for Beginners","Technical learners, developers, students","AI For Beginners — 12-Week Curriculum","Microsoft","https://github.com/microsoft/AI-For-Beginners","free",False,False,"beginner","course","neural networks; NLP; computer vision; AI history; symbolic AI","Developers or technically curious learners wanting a structured Microsoft open-source curriculum","medium",False,"","",8,"12-week open-source curriculum with 24 lessons and labs; hosted on GitHub; self-directed; no instructor support","26; 20"
"AI for Beginners","All professionals","Introduction to Generative AI","Google Cloud Skills Boost","https://www.cloudskillsboost.google/course_templates/536","free",True,True,"beginner","course","generative AI overview; LLMs; GenAI applications; Google AI tools","Busy professionals wanting a quick authoritative GenAI orientation from Google","high",False,"","",9,"~45 minutes; completion badge only, not a traditional certificate; widely cited as an excellent orientation","142; 145"
"Generative AI Basics","All professionals","Generative AI Fundamentals","Google Cloud Skills Boost","https://www.cloudskillsboost.google/course_templates/556","free",True,True,"beginner","course","generative AI fundamentals; GenAI vs traditional ML; GenAI applications","Anyone wanting a fast free understanding of GenAI from Google","high",False,"","",9,"~45 minutes; skill badge only; part of the Introduction to Generative AI learning path","142; 145"
"Generative AI Basics","Technical and non-technical professionals","Introduction to Large Language Models","Google Cloud Skills Boost","https://www.cloudskillsboost.google/course_templates/539","free",True,True,"beginner","course","LLMs; prompt tuning; LLM use cases","Anyone wanting to understand how LLMs work and how to use prompt tuning","high",False,"","",9,"~1 hour; skill badge only; authoritative Google source","142"
"Generative AI Basics","Developers, ML practitioners","Generative AI with LLMs","DeepLearning.AI + AWS / Coursera","https://www.coursera.org/learn/generative-ai-with-llms","free_audit_paid_certificate",True,False,"intermediate","course","LLM architecture; fine-tuning; deployment; RLHF; AWS Bedrock","Technical professionals wanting hands-on GenAI model architecture and deployment skills","medium",True,"Coursera","Up to 45% commission, 30-day cookie",9,"Co-created with AWS; ~16 hours; Python and ML knowledge recommended; certificate requires payment","11"
"Generative AI Basics","Developers, ML engineers","Hugging Face LLM Course","Hugging Face","https://huggingface.co/learn/llm-course/en/chapter1/1","free",False,False,"intermediate","course","LLMs; Transformers; NLP; fine-tuning; Hugging Face ecosystem","Developers wanting hands-on NLP and LLM skills using the industry-standard Transformers library","medium",False,"","",9,"Fully free; community-graded; 20-40 hours self-paced; no formal certificate","52; 55; 49"
"Generative AI Basics","All professionals","Introduction to Generative AI Learning Path","Google Cloud Skills Boost","https://www.cloudskillsboost.google/paths/118","free",True,True,"beginner","course","generative AI; LLMs; responsible AI; GenAI applications","Structured beginner pathway through Google's complete GenAI curriculum","high",False,"","",9,"~5 hours total; combines multiple short courses; badge-based, not a traditional certificate","142; 162"
"Prompt Engineering","Developers, technical professionals","ChatGPT Prompt Engineering for Developers","DeepLearning.AI + OpenAI","https://www.deeplearning.ai/short-courses/chatgpt-prompt-engineering-for-developers/","free",False,False,"beginner","course","prompt engineering; OpenAI API; iterative prompting; summarisation; transformation","Developers wanting best-practice prompt engineering with the OpenAI API","high",False,"","",10,"Co-created with OpenAI; taught by Andrew Ng and Isa Fulford; ~1.5 hours; 9 video lessons; OpenAI API key needed for exercises; no certificate","45"
"Prompt Engineering","All professionals","OpenAI Academy","OpenAI","https://academy.openai.com","free",True,True,"mixed","academy","prompt engineering; ChatGPT at work; advanced reasoning; data analysis with AI; market research with AI","ChatGPT users at any level wanting structured free courses directly from OpenAI","high",False,"","",10,"11 free courses including beginner to advanced prompt engineering; requires free OpenAI account; certificate format may vary by course","119; 122; 125; 39; 128"
"Prompt Engineering","All professionals","Foundations of Prompt Engineering","AWS Skill Builder","https://explore.skillbuilder.aws/learn/course/external/view/elearning/17763/foundations-of-prompt-engineering","free",False,False,"beginner","course","prompt engineering; few-shot prompting; chain of thought; advanced prompt techniques","Business professionals and developers wanting to understand structured prompt design from AWS","high",False,"","",9,"~4 hours; free with AWS Skill Builder account (free to create); no prior ML knowledge required; no formal certificate","40; 37; 161"
"Prompt Engineering","Marketers, content creators","AI Prompting for Marketing","HubSpot Academy","https://academy.hubspot.com/lessons/ai-prompting-for-marketers","free",False,False,"beginner","course","prompt engineering for marketing; content creation; AI writing tools","Marketers wanting quick practical prompt skills for content creation","high",False,"","",8,"Single lesson ~30 minutes; 100% free; no registration fee; not a full course","135"
